unique_staying_id,study_id,location_id,Start Time,End Time,Day of Week,Time of Day,Surveyor Count,staying_microclimate,Temperature,staying_row_total,Group Size,Race Ethnicity,Gender,Age,sitting_formal_all,sitting_formal_public,Commercial Activity,commercial_buying,Eating Drinking,talking_to_others,sitting_informal,recreation_passive,standing,using_electronics,Active Recreation,leaning,living_public,commercial_observing,working_civic,staying_mobility_assist,Waiting for Transportation,Smoking,soliciting,sitting_formal_private,Conditions,commercial_selling,Intoxicated Disruptive Behavior,lying,Cultural Activity,Aggressive Disruptive Behavior,sitting_formal_commercial,commercial_selling_informal,Disruptive Behavior,Notes,sitting_formal_public_fixed,sitting_formal_public_fixed_1,sitting_formal_public_movable,subject_id,latitidue,longitude,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,waiting_non_public_transportation,recreation_active_play,recreation_passive_reading_writing,other,chance_encounter,year,month,day
1,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,3,L,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
2,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,3,L,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
3,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,3,U,Other_Unsure,0-4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
4,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,1,W,Male,25-44,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
5,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,2,W,Male,25-44,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
6,2018_Seattle_Citywide,MAP1,2018-08-02 08:20:00,2018-08-02 08:40:00,Weekday,Morning,UD4H,Heavy Clouds,58,1,2,W,Other_Unsure,0-4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
7,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,1,W,Male,45-64,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
8,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,1,W,Female,65+,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
9,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,L,Male,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
10,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Male,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
11,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Male,25-44,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
12,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Female,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
13,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,1,W,Female,25-44,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
14,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Male,25-44,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
15,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Female,25-44,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
16,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,1,W,Female,25-44,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
17,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,1,W,Female,25-44,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
18,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Female,65+,1,1,1,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
19,2018_Seattle_Citywide,MAP1,2018-08-02 12:20:00,2018-08-02 12:40:00,Weekday,Midday,UD4H,Heavy Clouds,60,1,2,W,Male,25-44,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
20,2018_Seattle_Citywide,MAP1,2018-08-02 16:22:00,2018-08-02 16:42:00,Weekday,Evening,UD4H,Heavy Clouds,67,1,2,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
21,2018_Seattle_Citywide,MAP1,2018-08-02 16:22:00,2018-08-02 16:42:00,Weekday,Evening,UD4H,Heavy Clouds,67,1,2,W,Female,25-44,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
22,2018_Seattle_Citywide,MAP1,2018-08-02 16:22:00,2018-08-02 16:42:00,Weekday,Evening,UD4H,Heavy Clouds,67,1,1,W,Male,45-64,1,1,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
23,2018_Seattle_Citywide,MAP1,2018-08-02 16:22:00,2018-08-02 16:42:00,Weekday,Evening,UD4H,Heavy Clouds,67,1,1,W,Male,45-64,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,2
24,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,4,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
25,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,4,W,Male,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
26,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,4,W,Male,0-4,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
27,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,4,W,Other_Unsure,0-4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
28,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,1,W,Female,45-64,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
29,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,1,W,Male,25-44,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
30,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,2,W,Male,15-24,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
31,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,2,W,Female,15-24,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
32,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,1,W,Male,25-44,,,1,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
33,2018_Seattle_Citywide,MAP1,2018-08-03 08:22:00,2018-08-03 08:42:00,Weekday,Morning,UD4H,Heavy Clouds,59,1,1,W,Male,45-64,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
34,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,4,W,Male,65+,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
35,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,4,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
36,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,4,W,Male,45-64,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
37,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,4,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
38,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Female,65+,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
39,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
40,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Female,65+,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
41,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Female,65+,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
42,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Male,25-44,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
43,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,2,W,Male,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
44,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,1,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
45,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Male,45-64,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
46,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,5-14,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
47,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,5-14,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
48,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,25-44,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
49,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,45-64,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
